Price,Adj Close,Close,High,Low,Open,Volume,STOCH_K,STOCH_D,CCI,WILLIAMS_R,MFI,ROC
Ticker,SPXU,SPXU,SPXU,SPXU,SPXU,SPXU,,,,,,
Date,,,,,,,,,,,,
2020-06-17,260.7583312988281,293.5,295.75,286.0,287.0,1294008,36.855862321287866,45.840984886862564,-68.97637398619733,-65.97222222222223,38.34383614738788,-2.491694352159468
2020-06-18,260.5362548828125,293.25,299.75,291.75,298.5,1072144,32.33405059989568,37.984478647561765,-52.19869179457296,-65.84507042253522,35.555455730253506,-3.377265238879734
2020-06-19,265.2005920410156,298.5,302.25,282.0,282.5,1774528,36.57733437663016,35.255749099271235,-47.607175012120116,-58.45070422535211,34.40448011083998,6.51204281891169
2020-06-22,259.4256896972656,292.0,303.75,291.25,300.0,1077308,36.03286384976527,34.98141627543038,-36.32628285941103,-67.60563380281691,39.07366311215112,8.449396471680593
2020-06-23,256.093994140625,288.25,289.75,281.5,284.75,1375200,33.68544600938968,35.43188141192838,-64.9469905668254,-72.88732394366197,39.62235522919286,4.722979109900094
2020-06-24,275.6398010253906,310.25,316.0,292.75,294.75,2503284,39.20187793427231,36.30672926447576,22.56580158291902,-41.901408450704224,43.318420866433556,10.803571428571423
2020-06-25,267.42169189453125,301.0,319.0,299.5,312.5,1655320,43.42723004694836,38.771517996870124,29.68657599053804,-54.929577464788736,50.44776611293697,-8.441064638783269
2020-06-26,285.6347961425781,321.5,323.75,303.25,304.0,2015436,58.75330772513871,47.127471902119794,82.89241622574947,-26.90909090909091,56.832216188977405,1.579778830963674
2020-06-29,273.6407775878906,308.0,325.5,307.75,317.75,1712348,57.20529236022194,53.128610044103,75.96298687325145,-46.54545454545455,51.16291761406947,-0.08110300081103361
2020-06-30,262.09100341796875,295.0,309.5,290.25,309.25,1272532,49.87412587412587,55.277575319828834,0.7183408643259285,-76.92307692307693,46.00587011267512,1.8119068162208762
2020-07-01,256.7603454589844,289.0,293.75,285.75,292.25,1283168,29.783993783993783,45.621137339447195,-43.822971645303575,-87.17948717948718,36.275848835320026,-1.5332197614991494
2020-07-02,252.76231384277344,284.5,286.75,275.0,279.0,1353492,16.837606837606838,32.16524216524217,-77.04381362392957,-85.38461538461539,40.81979572641826,-2.983802216538789
2020-07-06,241.2126007080078,271.5,275.5,270.0,273.5,1252000,10.046200046200045,18.889266889266892,-124.20744238926082,-97.29729729729729,38.70410062161756,-9.045226130653262
2020-07-07,248.7643280029297,280.0,280.75,270.25,276.0,1016484,11.778701778701778,12.88750288750289,-102.40028395226076,-81.98198198198197,46.11079213416719,-4.109589041095896
2020-07-08,242.76736450195312,273.25,282.75,273.0,277.75,1170620,8.85885885885886,10.227920227920231,-106.55628254773706,-94.14414414414414,46.52078579410189,-5.203816131830008
2020-07-09,246.76535034179688,277.75,287.75,271.0,271.75,1546056,12.612612612612613,11.083391083391087,-93.7709310113867,-86.03603603603602,47.51294801003335,-10.475423045930699
2020-07-10,239.2135772705078,269.25,282.5,268.75,278.75,1326164,6.900292362847431,9.457254611439637,-113.94569612940532,-99.11894273127753,48.76852566132646,-10.548172757475083
2020-07-13,245.4326934814453,276.25,278.5,256.5,263.0,2218352,14.489403212827847,11.334102729429299,-119.44941468149567,-71.3768115942029,41.55195607725247,-14.074650077760499
2020-07-14,235.8819122314453,265.5,284.0,264.75,280.25,2230268,14.182574645129714,11.857423406934998,-103.19880418535138,-86.95652173913044,49.48145213166713,-13.7987012987013
2020-07-15,229.21856689453125,258.0,264.75,255.5,257.0,1621308,15.079365079365083,14.58378097910755,-145.69806064502325,-96.42857142857143,39.84570216717538,-12.542372881355934
2020-07-16,232.10604858398438,261.25,265.0,259.75,263.5,1101836,8.276397515527952,12.512779080007585,-116.13804109315801,-91.78571428571429,37.63919807988563,-9.602076124567471
2020-07-17,229.66282653808594,258.5,263.25,256.5,258.5,810596,5.3571428571428585,9.570968484011967,-114.01713289363978,-95.71428571428572,29.0294100738624,-9.13884007029877
2020-07-20,224.11004638671875,252.25,261.25,250.5,259.5,802532,5.15536723163842,6.2629692014364124,-121.58768290019673,-97.03389830508475,30.88705987331467,-7.090239410681399
2020-07-21,222.9994659423828,251.0,253.25,246.25,247.25,989008,5.7506053268765145,5.421038471885933,-127.45098039215709,-90.0,31.691982064302266,-10.357142857142854
2020-07-22,218.77938842773438,246.25,252.0,245.75,251.75,806416,4.718859295130483,5.208277284548475,-122.45344647607523,-98.80952380952381,32.80152756719985,-9.881061299176574
